train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/architecture,config/lr,config/batch_size,config/num_epochs,config/optimizer,logdir
0.014946882748562429,0.014426473511589898,18.772574402334413,0.4740608036518097,1756831203,,False,80,0ad30_00000,2025-09-02_23-40-03,66.49813151359558,5322.8792424201965,1625829,prism-2.apex.cmkl.ac.th,172.16.101.112,5322.8792424201965,80,"[64, 128, 256]",0.00026281190944479904,16,80,SGD,0ad30_00000
0.08754810069170263,0.08734970413976245,10.910936034512716,0.27797526121139526,1756836382,,False,85,0ad30_00001,2025-09-03_01-06-22,56.87052917480469,5160.730811834335,1712420,prism-2.apex.cmkl.ac.th,172.16.101.112,5160.730811834335,85,"[64, 128, 256]",0.004006252070401449,16,85,Adam,0ad30_00001
0.027580199487921266,0.026529666913880243,16.27810567944323,0.4417951703071594,1756837833,,False,25,0ad30_00002,2025-09-03_01-30-33,56.255415201187134,1406.327861070633,1780303,prism-2.apex.cmkl.ac.th,172.16.101.112,1406.327861070633,25,"[64, 128, 256]",0.0007650801658140598,16,25,SGD,0ad30_00002
0.01416926024067733,0.013857508732212915,18.9482009786965,0.4903404712677002,1756840669,,False,50,0ad30_00003,2025-09-03_02-17-49,53.26993942260742,2818.163126707077,1800292,prism-2.apex.cmkl.ac.th,172.16.101.112,2818.163126707077,50,"[32, 64, 128]",0.0011605654358995893,16,50,SGD,0ad30_00003
0.00483126336734535,0.00470676706586447,23.74491317975713,0.7166019678115845,1756843445,,False,49,0ad30_00004,2025-09-03_03-04-05,54.79266715049744,2730.618446826935,1837625,prism-2.apex.cmkl.ac.th,172.16.101.112,2730.618446826935,49,"[32, 64, 128]",0.000174685301783907,16,49,Adam,0ad30_00004
0.005363780908390052,0.005253881566325384,23.31357813588377,0.7084460258483887,1756847180,,False,69,0ad30_00005,2025-09-03_04-06-20,51.91583561897278,3693.2054488658905,1874049,prism-2.apex.cmkl.ac.th,172.16.101.112,3693.2054488658905,69,"[32, 64, 128]",0.001540350745103275,32,69,Adam,0ad30_00005
0.08754996720287535,0.08749711079729929,10.912924401223684,0.2777040898799896,1756852333,,False,88,0ad30_00006,2025-09-03_05-32-13,57.65365147590637,5078.935208082199,1923299,prism-2.apex.cmkl.ac.th,172.16.101.112,5078.935208082199,88,"[64, 128, 256, 512]",0.003872748110314124,16,88,Adam,0ad30_00006
0.020792310094046924,0.02034029733803537,17.302304281748906,0.4349929690361023,1756855932,,False,66,0ad30_00007,2025-09-03_06-32-12,53.711742639541626,3554.1282391548157,1988511,prism-2.apex.cmkl.ac.th,172.16.101.112,3554.1282391548157,66,"[32, 64, 128]",0.0002605403821993681,16,66,SGD,0ad30_00007
0.004625554675132864,0.004639997064605751,23.79040690204123,0.7181095480918884,1756860605,,False,90,0ad30_00008,2025-09-03_07-50-05,50.558704137802124,4656.15932559967,2034079,prism-2.apex.cmkl.ac.th,172.16.101.112,4656.15932559967,90,"[32, 64, 128]",0.0002351151273600512,32,90,Adam,0ad30_00008
0.0048700004510788455,0.004681703548671471,23.868196665866556,0.7330719232559204,1756865278,,False,86,0ad30_00009,2025-09-03_09-07-58,54.248788833618164,4625.646187782288,2093078,prism-2.apex.cmkl.ac.th,172.16.101.112,4625.646187782288,86,"[32, 64, 128]",0.0011813071499415862,16,86,Adam,0ad30_00009
0.012094914515813193,0.012015981434852677,19.63193018703716,0.5142311453819275,1756868268,,False,55,0ad30_00010,2025-09-03_09-57-48,51.15773296356201,2948.236631631851,2156206,prism-2.apex.cmkl.ac.th,172.16.101.112,2948.236631631851,55,"[32, 64, 128]",0.004855066411418385,32,55,SGD,0ad30_00010
0.027527843854493566,0.026942601641722484,15.925914295733142,0.3212258219718933,1756869426,,False,19,0ad30_00011,2025-09-03_10-17-06,55.97640037536621,1117.5686430931091,2195443,prism-2.apex.cmkl.ac.th,172.16.101.112,1117.5686430931091,19,"[64, 128, 256, 512]",0.0014824338999409904,32,19,SGD,0ad30_00011
0.011494076423760918,0.011234009102712163,19.91059223407496,0.5316283702850342,1756873240,,False,72,0ad30_00012,2025-09-03_11-20-40,51.63339352607727,3741.503767967224,2210515,prism-2.apex.cmkl.ac.th,172.16.101.112,3741.503767967224,72,"[32, 64, 128]",0.0052495709110876145,32,72,SGD,0ad30_00012
0.01365650115845104,0.013153966267903645,19.173736203542713,0.4938545823097229,1756877161,,False,71,0ad30_00013,2025-09-03_12-26-01,52.58916640281677,3874.403267621994,2260384,prism-2.apex.cmkl.ac.th,172.16.101.112,3874.403267621994,71,"[32, 64, 128]",0.0015462337623757803,16,71,SGD,0ad30_00013
0.030908131137904193,0.030529777904351553,15.393504960202746,0.3401951193809509,1756880946,,False,62,0ad30_00014,2025-09-03_13-29-06,64.6478590965271,3739.797294855118,2310883,prism-2.apex.cmkl.ac.th,172.16.101.112,3739.797294855118,62,"[64, 128, 256, 512]",0.0001330775885708178,16,62,SGD,0ad30_00014
0.004670771116701265,0.004775964772427636,23.76873227323713,0.7323467135429382,1756885797,,False,85,0ad30_00015,2025-09-03_14-49-57,52.79156470298767,4807.7476308345795,2359868,prism-2.apex.cmkl.ac.th,172.16.101.112,4807.7476308345795,85,"[32, 64, 128]",0.00042461433186764325,32,85,Adam,0ad30_00015
